WORD,FREQ_WORD_in_CORPUS,FREQ_WORD_in_DITRANSITIVE
给,68623,6069
送,14280,1415
告诉,9593,743
叫,25317,663
带,26038,615
问,16955,305
教,3993,261
欠,1171,199
还,147336,195
给予,1577,141
赐,336,94
借,2161,75
留,6040,73
赋予,779,70
赠,801,61
分,11077,57
卖,9369,48
递,251,45
推荐,19333,45
予,352,38
奖励,1321,37
收,5553,36
找,19553,32
发,17225,30
赠送,1595,30
提醒,4369,27
打,18587,25
交,2480,24
要,171445,24
喊,2716,23
付,946,22
授予,224,22
抽,2166,21
告知,1224,21
赔偿,604,21
赔,513,20
投,1353,17
骂,3114,16
让,84164,16
扔,1593,16
回,13504,14
喂,1547,14
骗,1988,13
传,2462,12
寄,1044,12
请教,772,12
花,16354,11
拿,12157,11
请,33128,11
回答,3439,10
退,1364,10
罚,694,9
放,15446,9
赏,2615,9
授,98,9
吃,79302,8
传授,237,8
夺,405,8
扣,916,8
占,2725,8
告,802,7
换,7829,7
救,1933,7
买,28076,7
输,1731,7
偷,1369,7
援助,498,7
称,8958,6
丢,2685,6
捐,1176,6
提供,9233,6
写,13963,6
转,21046,6
赚,3608,6
通知,2400,5
报告,3162,4
补贴,486,4
奖,6044,4
抢,4786,4
咬,1765,4
助,944,4
教导,276,3
浪费,2385,3
说,114127,3
讨,406,3
支援,239,3
