WORD	FREQ_WORD_in_CORPUS	FREQ_WORD_in_DITRANSITIVE
带	8523	2314
打	18587	1142
发	17225	1000
留	6040	941
做	60553	882
送	14280	806
买	28076	802
提供	9233	403
找	19553	330
推荐	19333	302
讲	7361	280
来	94254	246
写	13963	230
看	94529	193
介绍	4735	192
寄	1044	186
加	13591	179
分享	21355	173
当	24491	165
上	102800	165
拍	13056	160
换	7829	158
放	15446	150
添	950	144
提	3158	134
造成	2895	132
准备	13535	127
过	61577	118
开	18443	114
增加	4354	111
拜	831	109
增添	756	107
拿	12157	105
起	17733	103
出	23167	89
说	114127	83
点	28968	80
画	4258	77
创造	3557	71
配	5094	66
煮	4721	66
安排	3851	64
捐	1176	64
喂	1547	61
洗	3101	60
弄	2731	59
穿	9609	58
报	2587	50
投	1353	50
唱	4737	49
补	2735	48
贴	3055	45
制造	1686	45
颁发	362	44
吃	79302	44
交	2480	43
下	47020	43
办	3349	42
取	2300	42
倒	4685	39
戴	2664	38
发送	1217	38
作	3506	37
定	3633	36
注入	402	36
装	3804	35
卖	9369	34
订	1114	32
讲述	1438	31
包	4824	28
捎	88	27
转发	30356	27
普及	790	26
生	7892	26
擦	1589	27
传	2462	24
递	251	24
分	11077	24
盖	1287	24
回	13504	24
烧	3189	24
让	84164	23
设计	15329	23
涨	2418	23
补充	2135	22
剪	899	22
快递	2060	22
挖	4407	22
赠送	1595	22
支	2089	22
充	480	21
道	9088	21
扣	916	21
私信	5278	21
转	21046	21
添加	1207	20
挑	1581	20
展示	2659	20
泡	3420	19
备	551	18
布置	746	18
传递	4683	18
泼	300	18
设置	1118	18
端	1181	17
喝	20811	17
借	2161	17
拉	3385	17
呈现	2645	16
搞	6414	16
贡献	1555	16
建	2396	16
解释	2850	16
立	1133	16
签	1281	16
选	5828	16
邮寄	554	16
编	632	15
讲解	602	15
抹	1405	15
平添	110	15
展现	1709	15
颁	54	14
插	689	14
丢	2685	14
改	3392	14
浇	572	14
请	33128	14
树立	341	14
造	1484	14
指	3389	14
表演	4245	13
镀	29	13
奉献	907	13
取名	313	13
扔	1593	13
塞	581	13
设	785	13
要	171445	13
营造	781	13
赚	3608	13
发放	533	12
汇报	562	12
进行	9693	12
披	376	12
去	107211	12
施加	53	12
掏	600	12
腾	153	12
修	1430	12
选择	14320	12
争取	1462	12
织	567	12
报销	294	11
撑	862	11
挂	2381	11
解决	6054	11
念	1752	11
派	1476	11
娶	964	11
设定	420	11
刷	1840	11
套	5486	11
问	16955	11
长	14997	11
整	6930	11
整理	1680	11
制作	4624	11
安	1739	10
摆	1330	10
打包	864	10
赋予	779	10
灌输	105	10
蒙	371	10
谋	314	10
拍摄	5464	10
撒	1617	10
涂	527	10
挣	671	10
安装	1053	9
按	3640	9
熬	1107	9
背	2804	9
拨	594	9
冲	2036	9
打开	3607	9
读	5293	9
多	94113	9
封	1569	9
奉上	595	9
服用	422	9
灌	310	9
回复	80953	9
捐赠	630	9
量	1099	9
免	2434	9
评	777	9
谈	3535	9
添置	58	9
推	2311	9
献	393	9
演示	273	9
用	61563	9
攒	511	9
照	2901	9
争	1212	9
支付	1927	9
变	6664	8
剥	348	8
凑	518	8
打造	3705	8
调	853	8
付	946	8
烤	3284	8
录	600	8
捧	1158	8
抢	4786	8
晒	3431	8
省	3344	8
讨	406	8
听	17430	8
献上	360	8
制定	852	8
炒	5773	7
搭建	415	7
讲诉	27	7
敲响	121	7
庆祝	1588	7
申请	2506	7
盛	649	7
跳	2587	7
拖	879	7
系	3047	7
赠	801	7
扎	564	7
摘	707	7
抓	2591	7
给	68623	7
搭配	4515	6
弹	827	6
炖	2107	6
分配	504	6
购买	3686	6
划	483	6
夹	832	6
建立	2132	6
举	1246	6
列	585	6
露	896	6
埋	513	6
派发	168	6
喷	722	6
数	3258	6
提高	3652	6
填	440	6
挑选	926	6
推送	292	6
玩	13427	6
寻找	4640	6
预留	110	6
指点	585	6
种	67115	6
主持	2226	6
总结	2227	6
帮	11845	5
保留	1727	5
尝	1307	5
呈上	83	5
冲刷	94	5
搭	1187	5
缝	230	5
辅导	140	5
改善	1593	5
鼓	297	5
关	1790	5
还	147336	5
挤	1640	5
记录	3564	5
煎	1757	5
叫	25317	5
烙	175	5
拎	374	5
描述	1033	5
敲	433	5
升级	2988	5
释放	1124	5
收	5553	5
梳	146	5
树	4193	5
算	10060	5
提交	491	5
下载	3282	5
想	68234	5
秀	2357	5
削	301	5
引荐	50	5
占	2725	5
注射	99	5
拔	540	4
败	745	4
办理	1129	4
绑	239	4
煲	862	4
爆	1370	4
补发	74	4
猜	2090	4
抽	2166	4
筹集	186	4
传授	237	4
促成	133	4
定制	2677	4
定做	104	4
囤	114	4
翻	3059	4
服	1142	4
供	1916	4
合	1433	4
积	258	4
寄送	114	4
减	1102	4
鞠	37	4
开启	1850	4
开通	1757	4
揩	14	4
刻	2600	4
浪费	2385	4
领	1526	4
录制	764	4
排	3417	4
抛	277	4
培养	1692	4
配备	545	4
拼	1562	4
切	4067	4
惹	1114	4
洒	403	4
升	1162	4
使	6987	4
试	2932	4
收拾	1512	4
书写	375	4
甩	607	4
偷	1369	4
推销	350	4
退	1364	4
物色	33	4
养	4337	4
掖	19	4
印	779	4
榨	165	4
植入	379	4
指导	1387	4
治	1585	4
